#nT = 49 nRho= 80
#logT [K],logRho [g/cc],logP [barye],logE [erg/g],logS [erg/g/K]
1.26000000,-5.25000000,3.56475425,8.99234495,8.62520482
1.26000000,-5.20000000,3.61475473,8.99234495,8.62092998
1.26000000,-5.15000000,3.66476091,8.99234495,8.61663352
1.26000000,-5.10000000,3.71476742,8.99234495,8.61229917
1.26000000,-5.05000000,3.76476547,8.99234495,8.60790326
1.26000000,-5.00000000,3.81474557,8.99234505,8.60342153
1.26000000,-4.95000000,3.86469629,8.99234639,8.59883616
1.26000000,-4.90000000,3.91463439,8.99234766,8.59417446
1.26000000,-4.85000000,3.96458334,8.99234681,8.58947234
1.26000000,-4.80000000,4.01456436,8.99234189,8.58476445
1.26000000,-4.75000000,4.06456048,8.99233336,8.58005085
1.26000000,-4.70000000,4.11457557,8.99232196,8.57531042
1.26000000,-4.65000000,4.16462679,8.99230798,8.57052482
1.26000000,-4.60000000,4.21472282,8.99229155,8.56567738
1.26000000,-4.55000000,4.26477481,8.99227028,8.56078066
1.26000000,-4.50000000,4.31486400,8.99224096,8.55583030
1.26000000,-4.45000000,4.36513280,8.99220070,8.55081105
1.26000000,-4.40000000,4.41569131,8.99214339,8.54570928
1.26000000,-4.35000000,4.46622562,8.99202374,8.54054448
1.26000000,-4.30000000,4.51699064,8.99183116,8.53530136
1.26000000,-4.25000000,4.56847449,8.99156825,8.52994663
1.26000000,-4.20000000,4.62108760,8.99121179,8.52445278
1.26000000,-4.15000000,4.67417144,8.99055660,8.51887883
1.26000000,-4.10000000,4.72833732,8.98957542,8.51315589
1.26000000,-4.05000000,4.78476664,8.98827546,8.50715714
1.31000000,-8.00000000,0.86465083,9.04492832,8.81670593
1.31000000,-7.95000000,0.91465103,9.04492832,8.81395558
1.31000000,-7.90000000,0.96465115,9.04492832,8.81118731
1.31000000,-7.85000000,1.01465109,9.04492832,8.80840075
1.31000000,-7.80000000,1.06465075,9.04492832,8.80559299
1.31000000,-7.75000000,1.11465028,9.04492832,8.80276660
1.31000000,-7.70000000,1.16464990,9.04492832,8.79992596
1.31000000,-7.65000000,1.21464982,9.04492832,8.79707572
1.31000000,-7.60000000,1.26465008,9.04492832,8.79422083
1.31000000,-7.55000000,1.31465052,9.04492832,8.79135353
1.31000000,-7.50000000,1.36465095,9.04492832,8.78846309
1.31000000,-7.45000000,1.41465118,9.04492832,8.78553886
1.31000000,-7.40000000,1.46465126,9.04492832,8.78257649
1.31000000,-7.35000000,1.51465125,9.04492832,8.77958547
1.31000000,-7.30000000,1.56465119,9.04492832,8.77657702
1.31000000,-7.25000000,1.61465111,9.04492832,8.77356223
1.31000000,-7.20000000,1.66465097,9.04492832,8.77054415
1.31000000,-7.15000000,1.71465080,9.04492832,8.76751300
1.31000000,-7.10000000,1.76465064,9.04492832,8.76445784
1.31000000,-7.05000000,1.81465055,9.04492832,8.76136796
1.31000000,-7.00000000,1.86465055,9.04492832,8.75824117
1.31000000,-6.95000000,1.91465058,9.04492832,8.75508490
1.31000000,-6.90000000,1.96465060,9.04492832,8.75190694
1.31000000,-6.85000000,2.01465052,9.04492832,8.74871492
1.31000000,-6.80000000,2.06465030,9.04492832,8.74551046
1.31000000,-6.75000000,2.11465002,9.04492832,8.74228702
1.31000000,-6.70000000,2.16464982,9.04492832,8.73903757
1.31000000,-6.65000000,2.21464984,9.04492832,8.73575515
1.31000000,-6.60000000,2.26465012,9.04492832,8.73243787
1.31000000,-6.55000000,2.31465055,9.04492832,8.72909069
1.31000000,-6.50000000,2.36465095,9.04492832,8.72571902
1.31000000,-6.45000000,2.41465118,9.04492832,8.72232836
1.31000000,-6.40000000,2.46465126,9.04492832,8.71892163
1.31000000,-6.35000000,2.51465125,9.04492832,8.71549215
1.31000000,-6.30000000,2.56465119,9.04492832,8.71203167
1.31000000,-6.25000000,2.61465111,9.04492832,8.70853192
1.31000000,-6.20000000,2.66465097,9.04492832,8.70498926
1.31000000,-6.15000000,2.71465080,9.04492832,8.70141078
1.31000000,-6.10000000,2.76465064,9.04492832,8.69780504
1.31000000,-6.05000000,2.81465055,9.04492832,8.69418033
1.31000000,-6.00000000,2.86465055,9.04492832,8.69053754
1.31000000,-5.95000000,2.91465058,9.04492832,8.68687025
1.31000000,-5.90000000,2.96465060,9.04492832,8.68317201
1.31000000,-5.85000000,3.01465052,9.04492832,8.67943653
